date,Collection period,Site,Site code,Collector_#,Treatment,abundance_mangrove,abundance_atlantic,Technician,Comments,
6/24/2024,C1,Cayo Pirata,CPI,88,Deep,214,82,Nico,,
6/24/2024,C1,Cayo Pirata,CPI,89,Deep,431,53,Nico,,
6/24/2024,C1,Cayo Pirata,CPI,73,Deep,152,172,Rene,,
6/24/2024,C1,Cayo Pirata,CPI,94,Shallow,572,4,Pedro,,
6/24/2024,C1,Cayo Pirata,CPI,82,Shallow,326,28,Megan,,
6/24/2024,C1,Cayo Pirata,CPI,81,Shallow,378,22,Megan,,
8/18/2024,C2,Cayo Pirata,CPI,73,Deep,701,0,Megan,with help of volunteer: Monica Daubon,
8/18/2024,C2,Cayo Pirata,CPI,89,Deep,573,0,Nico,with help of volunteers: Monica ,
8/18/2024,C2,Cayo Pirata,CPI,94,Shallow,687,1,Megan,with help of volunteer: Helena and Monica,
8/18/2024,C2,Cayo Pirata,CPI,82,Shallow,286,0,Nico,with help of Monica,
8/18/2024,C2,Cayo Pirata,CPI,81,Shallow,488,0,Megan,with help of Nathania and Monica,
8/18/2024,C2,Cayo Pirata,CPI,88,Deep,322,0,Pedro,with help of Nico,
18-Oct,C3,Cayo Pirata,CPI,81,Shallow,128,0,Pedro,,
18-Oct,C3,Cayo Pirata,CPI,94,Shallow,324,3,Rene,,
18-Oct,C3,Cayo Pirata,CPI,73,Deep,58,8,Nico,,
18-Oct,C3,Cayo Pirata,CPI,88,Deep,236,1,Pedro,,
18-Oct,C3,Cayo Pirata,CPI,89,Deep,163,3,Rene,,
18-Oct,C3,Cayo Pirata,CPI,82,Shallow,673,11,"Nico, Megan",,
18-Dec,C4,Cayo Pirata,CPI,81,Shallow,176,2,Rene,,
18-Dec,C4,Cayo Pirata,CPI,89,Deep,142,0,Nico,,
18-Dec,C4,Cayo Pirata,CPI,88,Deep,166,2,Pedro,,
18-Dec,C4,Cayo Pirata,CPI,82,Shallow,151,1,Pedro,,
18-Dec,C4,Cayo Pirata,CPI,94,Shallow,263,4,Rene,,
18-Dec,C4,Cayo Pirata,CPI,73,Deep,234,1,Nico,,
2/10/2025,C5,Cayo Pirata,CPI,88,Deep,2316,2,Pedro,1 scallop,
2/10/2025,C5,Cayo Pirata,CPI,89,Deep,5858,0,Nico,,
2/10/2025,C5,Cayo Pirata,CPI,73,Deep,3363,1,Rene,,
2/10/2025,C5,Cayo Pirata,CPI,81,Shallow,4061,1,Nico,,
2/10/2025,C5,Cayo Pirata,CPI,94,Shallow,4174,2,Pedro,,
2/10/2025,C5,Cayo Pirata,CPI,82,Shallow,5634,4,Rene,,
4/18/2025,C6,Cayo Pirata,CPI,73,Deep,1303,67,Nic,,
4/18/2025,C6,Cayo Pirata,CPI,88,Deep,1349,125,Rene,,
4/18/2025,C6,Cayo Pirata,CPI,94,Shallow,356,27,Jaime,,
4/18/2025,C6,Cayo Pirata,CPI,89,Deep,1704,53,Pe,,
4/18/2025,C6,Cayo Pirata,CPI,81,Shallow,256,14,Jaime,,
4/18/2025,C6,Cayo Pirata,CPI,82,Shallow,1175,13,Rene,,
6/22/2024,C1,Fulladosa,FUL,100,Shallow,259,18,NA,,
6/22/2024,C1,Fulladosa,FUL,91,Shallow,202,1,NA,,
6/22/2024,C1,Fulladosa,FUL,99,Shallow,230,0,NA,,
6/22/2024,C1,Fulladosa,FUL,74,Deep,74,59,NA,,
6/22/2024,C1,Fulladosa,FUL,87,Deep,157,13,NA,,
6/22/2024,C1,Fulladosa,FUL,97,Deep,198,7,NA,,
8/20/2024,C2,Fulladosa,FUL,99,Shallow,379,0,Nico,,
8/20/2024,C2,Fulladosa,FUL,97,Deep,205,0,Pedro,,
8/20/2024,C2,Fulladosa,FUL,87,Shallow,216,0,Rene,,
8/20/2024,C2,Fulladosa,FUL,91,Shallow,223,0,Rene,,
8/20/2024,C2,Fulladosa,FUL,74,Deep,140,0,Pedro,,
8/20/2024,C2,Fulladosa,FUL,100,Deep,143,0,Pedro,,
19-Oct,C3,Fulladosa,FUL,74,Deep,173,1,Megan,,
19-Oct,C3,Fulladosa,FUL,100,Deep,645,13,"Megan, Pedro",,
19-Oct,C3,Fulladosa,FUL,99,Shallow,1250,0,Rene,,
19-Oct,C3,Fulladosa,FUL,97,Deep,771,5,Megan,,
19-Oct,C3,Fulladosa,FUL,87,Shallow,956,17,Megan,,
19-Oct,C3,Fulladosa,FUL,91,Shallow,876,3,"Megan, Rene",,
17-Dec,C4,Fulladosa,FUL,97,Deep,31,0,Nico,,
17-Dec,C4,Fulladosa,FUL,87,Shallow,44,1,Rene,,
17-Dec,C4,Fulladosa,FUL,74,Deep,31,3,Pedro,,
17-Dec,C4,Fulladosa,FUL,91,Shallow,36,0,Rene,,
17-Dec,C4,Fulladosa,FUL,100,Deep,46,0,Nico,,
17-Dec,C4,Fulladosa,FUL,99,Shallow,36,0,Pedro,,
2/11/2025,C5,Fulladosa,FUL,100,Deep,796,0,Rene,,
2/11/2025,C5,Fulladosa,FUL,87,Shallow,482,0,Nico,,
2/11/2025,C5,Fulladosa,FUL,95,Deep,844,0,Pedro,,
2/11/2025,C5,Fulladosa,FUL,74,Deep,408,0,Rene,,
2/11/2025,C5,Fulladosa,FUL,91,Shallow,556,1,Luis,,
2/11/2025,C5,Fulladosa,FUL,99,Shallow,582,0,Pedro,,
